"concept_id:ID","name",":LABEL"
"b4c4ea0bf4651381e2dec58e420570363627a3370599d0dee56bec1df0ba887a","tabs","Concept"
"67f31a09dd2cff5528b2a288dbdb0b757dcdec3d74fa83df40fedbdc54258276","algorithm","Concept"
"d3c70ef1bddc341aea72cfa3df7f8886ab78cee51d9f607bd401eb44e5078721","phase","Concept"
"d16906d0682177e82b60db830025b85fd0e0c3f65a12485bbd3fbc680b9cfa46","hosts","Concept"
"76a345f8470c2f015fa1a30a5976a1871c0e5732c652a3183589eec6b905e063","confirmation","Concept"
"8d0f8d3e83e1f623d135a391e92b3230959849bd817f855c1eb85d01082f46ee","acceptance","Concept"
"d73a0ae7b5030e144381c82acebb77505528b7799c05310af9c1f593cf165574","greed","Concept"
"2c2456b0f322068b02a88af93f84d831d9dbf7c6a5e8fe5c8db0c230088b5da2","term","Concept"
"4ba67e57773b00b32174ab66c9edc6306661bdafc208dc9da93efd1350959da9","hiring","Concept"
"6618ea2051dde14862e2054690599ea2ff3bff28bade129204554bb07a3d4931","problem","Concept"
"c61ed504aa5e6b9e554bf5e081321d5d1b0daf850074c92822554368a5172a6d","adjective","Concept"
"e9c30e00d06b10b3705d9efc0135de1efae30fa24ebc6cecd0c242420d15b3d6","electrical","Concept"
"5a42584f38997e32a92031a7e4a24cc2d655e65600a1be1a88b3d1ee93367caf","guidance","Concept"
"fa408a4c61ddf7abbfbdd026db521bdd73658505b160190cf1da10351586cded","chain","Concept"
"3e804b42c06bc8ad22095933e721c07747be8ed6d3f3d80160ca4d304b0e27b1","farewell","Concept"
"2ea4d8762c52ac42133989708a3c545028565f01b63cdcdf2d799040d2e34fd2","requirement","Concept"
"53a272bdab8e65ecc1e949ccaf975f2716d03c99b5d34df95b66bd6197a33449","functionality","Concept"
"59fc8e3d1fa6a6c1912d7cf4a1c40d726c55a6a0548623ec7c6c9929f6405e0d","interface","Concept"
"272f96aac6bc2baf4a1797005bc0cffb760ddbb9410a9522c9c1a533862ae246","systems","Concept"
"065097d18b19532e01c8756c97593c103cebc2a34d90c10010cb460b56613fa9","tutorial","Concept"
"d6133bed3dc9cec3315eb69fd6288b4698d7b24b57675e0bc43a21147dbbe839","sequence","Concept"
"0f2d8be743adcc62e12abfa83515c0f2f4981162d64a1a21482963c1e652e1fd","comment","Concept"
"2669b673a157a8deff9fdd5ddb8eeb98e35d72b8a9c76173adb97235dc250df5","combination","Concept"
"b2ae948d1014bc2907c0244d3b10d811b8e9f77c7380b26b8fc00b14027ca028","details","Concept"
"d3893e56a6f6874d0657bafb529615aa02292017f10a47fb86d644522f6a5d6e","industry","Concept"
"1157701535f4e651608199491d7493ae418679569f4837434cb9ee6ddcacb17d","actor","Concept"
"98c913f7f4b4254679028122f2c7311db6e74d213453c70a86378af6b787ee0d","job","Concept"
"83f3b05659b1f63a829ec68723e78bd9c61183d6391bae93fda47041806f0c87","communication","Concept"
"e05e18f29eb761a81df704f7487f5791563786189b123dcb617e74910b9bc219","pending","Concept"
"959949f912e35a31a62c759854cdb4e0ffd7381ddb485d9b120e9dc30a42b247","patches","Concept"
"21dcf5ae5f388a8a1fec310f824e9790b790868c4e755aecc82b0d02442ed21f","tolerance","Concept"
"adecb96e38b5e6c30c6ef250c64474affd2fb36af817e593431b8b5113f57bb3","advantage","Concept"
"883a98857de6fe4edcff814edeaf3d239ee1a92c5401916544edf500d61c5473","idea","Concept"
"4472c978559c1799242f7417186be36317ec5200c96516dab742e4fe9c88f25b","output","Concept"
"44eb7040aa32b7691faf013d0f09e9a72d06e18a52ff6be05749ef39c5d0bf3b","method","Concept"
"f7db5b263bea3d3415d6a9049b447fcee59612b0cbb99c7f4a7e34ff48ee3ae3","wiring","Concept"
"b3699483af9258b9091f2b6c48a66e236a291b0b102caecfa58f4309b12f739b","week","Concept"
"51712d0b35765f205ee42c983da6e86b368e0033da91c48e54e144a9826c1c97","adherent","Concept"
"df13d145e488af4e9d9ef97992bc2097e45e7a7abdd8007c2c95461741a5b509","application","Concept"
"01069750d7be17d04a065163debe71e326c994e7a1c95f3194d933f490a8211f","mechanical aid","Concept"
"7ca3361367b3710e75e824779db2b46e493aa8dd45f0e933fbf829572f7e149f","assembly aid","Concept"
"dd10fcf5c368049fbc42b5b6543cbdf6bb7f73a141b8a03e6020410b88dfe37f","coupon","Concept"
"1ffc9843e66ffa33e52516df89ef6077e917e5cc4a02bccd386d06722176bfc2","dispute","Concept"
"420d6aed65f3d7122b929a69bbdd10d0cff4386606ba83f2ceae2d0d472c7803","phrase","Concept"
"c413b8cc4a04cc9e6510093b1eb5bf758db655cc85336d44ed4984a406439037","market","Concept"
"8218d4e720df13cda9db640f764d60e4e8d7d06d622d6a6b4d1b60408e534c3b","reference","Concept"
